# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is astrolab, 
#     and thy time is Tue Mar 13 15:58:11 2018
# 
# -------------------------------------------------
# 
# System Parameters (circular orbit):
# 
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> Off
#   <Limb darkening>        quadratic
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  6.405e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    92.019  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    27.692     13.846   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>          5.637      3.361   (dimensionless)
#   <Polar Radius>     0.356      0.466   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.022      0.013   (m kg/s^2)
#   <Polar Radius>  5.31e+10   6.96e+10   (meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    76.279     99.979   (solar radius)
# 
#   <Mean Temp.>      5702.9     5702.5   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      1.300              (dimensionless)
#   <Temperature>     5700.0     5700.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           0.500      0.500   (dimensionless)
#   <Grav. Dark.>      0.097      0.097   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        4.6946   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Fillout Factor>                   0.9328   (dimensionless)
#   <Surface Potential Secondary>      2.5973   (dimensionless)
#   <... in Primary frame>             4.6946   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        --no eclipse--
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     2.42034e+14     3.60722e+14
#   Band   1:     3.08216e+14     4.62025e+14
#   Band   2:     3.36423e+14     5.10849e+14
#   Band   3:     3.17054e+14     4.84885e+14
#   Band   4:     2.46313e+14     3.79451e+14
#   Band   5:     9.38502e+13     1.45841e+14
#   Band   6:     4.57799e+13     7.14004e+13
#   Band   7:     1.74684e+13     2.73123e+13
#   Band   8:     2.22609e+14     3.30468e+14
#   Band   9:     2.88868e+14     4.31897e+14
#   Band  10:     3.19477e+14     4.80021e+14
#   Band  11:     3.35795e+14     5.09661e+14
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
#  <      V Band>  Mean Residual   0.036677   SDV Residuals    0.00452
#        Runs      12    Upper Limit    116    Lower Limit      87
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     6.02756e+14            0.75
#   Band   1:     7.70242e+14            0.75
#   Band   2:     8.47272e+14            0.75
#   Band   3:      8.0194e+14            0.75
#   Band   4:     6.25764e+14            0.75
#   Band   5:     2.39692e+14            0.75
#   Band   6:      1.1718e+14            0.75
#   Band   7:     4.47807e+13            0.75
#   Band   8:     5.53077e+14            0.75
#   Band   9:     7.20765e+14            0.75
#   Band  10:     7.99498e+14            0.75
#   Band  11:     8.45456e+14            0.75
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
 30  0.1250 463694209067498.312500 593306527968076.125000 666994585435304.375000 639820973804127.000000 506095941849794.125000 197194192540018.531250 97142211514753.875000 37348054849365.054688 422391267249094.000000 554081210385160.500000 617447412946696.625000 664941105202901.000000       18.03      -12.86
 31  0.1375 487285597902639.875000 623496661894149.875000 697849820163227.250000 667603289105887.625000 526641545172225.500000 204512093487199.375000 100592840993390.921875 38629915647351.382812 444547136476128.437500 582477286612435.750000 648551284205167.000000 695840016874077.375000       19.43      -13.12
 32  0.1500 509739509710574.437500 652226046746667.375000 727114402150358.500000 693891750028356.125000 546032214717442.500000 211393502045767.218750 103832115182975.156250 39831091934082.914062 465658677654023.812500 609505718370395.375000 678139506745470.375000 725150226484710.625000       20.74      -13.32
 33  0.1625 530630707937651.062500 678937165883351.375000 754276764826528.250000 718269937144755.500000 563997168568156.500000 217761482411098.906250 106828436184033.406250 40941711679763.882812 485311868668563.250000 634644940457664.750000 705639821703611.500000 752356416627170.125000       21.96      -13.44
 34  0.1750 549497105474078.562500 703034160526280.250000 778747418329462.625000 740217495450860.750000 580158937657713.500000 223484763489589.625000 109520857913028.312500 41939286892223.515625 503067770619297.500000 657332740778250.750000 730440221839459.250000 776867065787117.750000       23.08      -13.51
 35  0.1875 565965374357894.125000 724029206528401.625000 800068876882786.875000 759351764010456.375000 594258030026927.250000 228482672986527.812500 111874142362298.468750 42811830669738.375000 518564770260191.812500 677111666848131.000000 752039935963083.875000 798221892937361.875000       24.09      -13.52
 36  0.2000 579692074146971.125000 741479397822037.875000 817801544176158.625000 775280700610895.125000 606005117598051.125000 232651111119375.093750 113839106571102.328125 43540781160181.468750 531476353439060.312500 693562616190741.250000 769984592263128.750000 815979825854526.500000       24.99      -13.49
 37  0.2125 590436751143459.875000 755074578872252.750000 831655033858901.000000 787758056369744.625000 615229439490682.250000 235934405253484.656250 115390780144998.437500 44117218878577.179688 541569921005753.812500 706391732379331.375000 783957413164877.875000 829848677522382.250000       25.76      -13.42
 38  0.2250 597966936437024.125000 764524357894765.125000 841333929035260.750000 796516118233229.250000 621731517637631.750000 238260650671081.343750 116494931881367.484375 44528332047007.195312 548627121296397.375000 715323020484831.375000 793661045804795.875000 839532755694250.500000       26.41       -13.3
 39  0.2375 602066932834955.875000 769572620682490.250000 846525197259424.875000 801225255532206.250000 625225439815046.625000 239504790685020.093750 117087201598387.968750 44747700955167.156250 552458871358727.750000 720106273403498.125000 798833275051032.000000 844721200265626.500000       26.92      -13.15
 40  0.2500 602755818964436.125000 770241797603519.375000 847271748964611.125000 801939717699206.750000 625763758678828.375000 239691503325427.406250 117180294084348.609375 44780717927397.976562 553076836774518.062500 720764810194835.125000 799497878391344.000000 845456304645003.250000        27.3      -12.97
 41  0.2625 600502866003404.000000 767073713927815.375000 844350560203303.250000 799556841041655.500000 624182067333866.500000 239211410141358.156250 116978854856106.859375 44713630473773.492188 550860943631672.500000 717841428813340.000000 796211833208620.375000 842506145244701.250000       27.54      -12.75
 42  0.2750 594961170592615.500000 759709595014229.500000 837136789689734.750000 793293786240660.000000 619713438841920.250000 237691141181021.437500 116283804921304.343750 44461906019424.421875 545555367941932.062500 710964048523877.375000 788606804591367.000000 835257887362902.750000       27.63      -12.51
 43  0.2875 586268231539107.000000 748352241846982.500000 825790576403205.000000 783258447411739.000000 612409558394391.250000 235135466779313.125000 115093900436572.203125 44023792663470.367188 537303159932863.437500 700317330669873.875000 776892586878629.125000 823874826622378.125000       27.58      -12.23
 44  0.3000 574772028902543.125000 733449039289002.500000 810795590908158.125000 769915706343391.125000 602642558836287.625000 231693481589643.750000 113482691980681.953125 43428619829252.953125 526424556493052.750000 686328309676990.625000 761529594692682.375000 808840761423291.000000       27.39      -11.93
